feature,importance,std
credit_tier,0.2847792175630137,0.015020403690001903
rent_coverage_ratio,0.16201233142677396,0.010631130061408972
sales_trend_12m,0.026373733680810224,0.010814490556381114
lease_term_remaining,0.019203447972773416,0.006498848244121154
occupancy_rate,0.009690686383307376,0.008791994525613888
delinquency_days,0.007752697238562409,0.006102463146933962
renewal_probability,0.00685844229300879,0.005192977453399635
property_value,0.0007686335383634557,0.001471580488037319
tenant_concentration_pct,8.936315408374085e-05,0.0021261841286516394
asset_age,-0.0011910005049649286,0.0009802144581926564
annual_rent,-0.0027507800579157776,0.0018765979735039752
tenant_industry,-0.0035001313146812707,0.004013786876428236
property_type,-0.004205435609955954,0.0063331372965925795
local_unemployment,-0.0045363124593606335,0.004151853766302701
market_rent_growth,-0.005009561683689587,0.002653147421448027
noi_margin,-0.005660503563408692,0.0013578596057823482
arrears_pct_annual_rent,-0.006971312562251558,0.004664113156956249
region,-0.00871605897093125,0.003096638398099398
capex_need_pct_value,-0.01127623387899894,0.00606831459099067
traffic_trend_12m,-0.011909172677766908,0.0009638238373622215
